id,composite_ticker,company_name,forecast_e,forecast_s,forecast_g,esg_performance,alpha,m1_pct_return,m3_pct_return,m6_pct_return,y1_pct_return,price
2119,ARKQ,ARK Industrial Innovation ETF,44.0536,44.5126,44.8939,42.52,-0.208053,20.5495,-7.10736,9.87654,2.58936,33.16
2139,BBJP,JPMorgan BetaBuilders Japan ETF,55.9219,50.9511,46.3888,46.1358,-0.633054,7.84615,-12.7024,-15.3041,-8.7033,20.47
2140,BBP,Virtus LifeSci Biotech Products ETF,46.5413,48.1725,48.497,46.4086,0.3805,17.4237,-0.95977,8.45771,-2.38675,37.44
2144,BBUS,JPMORGAN BETABUILDERS U.S. EQUITY ETF,51.2016,50.8041,51.3689,50.3735,-0.474895,15.0552,-12.9146,-7.32101,-4.31058,46.41
2155,BIBL,Inspire 100 ETF,48.556,48.7882,48.365,47.427,-0.186435,15.4013,-12.377,-6.33761,-3.98245,24.86
2224,CATH,Global X S&P 500 Catholic Values ETF,51.8912,51.4757,51.9649,50.9611,-0.527929,14.4784,-12.3238,-7.4734,-5.06118,31.86
2229,CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,50.9687,51.4161,51.9426,50.7327,-0.374599,11.9231,-23.7955,-23.3516,-22.6958,35.2078
2235,CFA,VictoryShares US 500 Volatility Wtd ETF,50.0029,50.1598,50.506,49.257,-0.253846,14.5419,-17.8637,-14.3287,-13.1829,42.405
2262,CLRG,IQ Chaikin US Large Cap ETF,49.8369,49.4495,50.0989,49.4156,-0.452004,19.9084,-16.7317,-14.5581,-15.8456,19.2696
2287,CSA,VictoryShares US Small Cap Volatility Wtd,46.428,47.3001,49.3337,45.8462,0.0398951,17.218,-23.6879,-24.2407,-29.9433,32.9275
2288,CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,44.3466,45.2578,46.9234,45.0594,-0.0431034,13.4044,-24.7291,-27.3426,-32.0804,31.3057
2345,DFJ,WisdomTree Japan SmallCap Dividend Fund,5.76224,5.32267,4.82802,4.72437,0.0157863,9.65088,-14.0734,-17.4808,-14.6625,58.14
2347,DFNL,Davis Select Financial ETF,52.0167,51.3878,51.644,50.1002,-0.958042,11.9711,-29.0835,-28.7805,-28.1116,16.705
